time,gFx,gFy,gFz,TgF
6.13,-0.5469,-0.929,0.1283,1.0859999999999999
6.133,-0.5472,-0.9358,0.1205,1.091
6.135,-0.5456,-0.9417,0.1132,1.094
6.139,-0.5411,-0.9446,0.1063,1.094
6.14,-0.5347,-0.9445,0.1,1.09
6.144,-0.5293,-0.9419,0.0961,1.085
6.145,-0.522,-0.937,0.0936,1.077
6.148,-0.5113,-0.93,0.0922,1.065
6.15,-0.5027,-0.9186,0.0912,1.051
6.153,-0.4896,-0.9082,0.0932,1.036
6.155,-0.48,-0.8963,0.0971,1.021
6.157,-0.4719,-0.8835,0.1015,1.0070000000000001
6.162,-0.4643,-0.8697,0.1083,0.992
6.162,-0.4587,-0.8545,0.1196,0.977
6.165,-0.4551,-0.8393,0.1289,0.963
6.167,-0.449,-0.8211,0.1392,0.946
6.17,-0.445,-0.802,0.1514,0.93
6.183,-0.4389,-0.7823,0.1617,0.9109999999999999
6.184,-0.4329,-0.7606,0.1724,0.892
6.184,-0.4269,-0.7396,0.1832,0.873
6.184,-0.4223,-0.7204,0.1911,0.857
6.184,-0.4216,-0.7008,0.1994,0.8420000000000001
6.185,-0.4233,-0.6857,0.2083,0.8320000000000001
6.187,-0.425,-0.672,0.2146,0.8240000000000001
6.189,-0.4302,-0.6569,0.2234,0.816
6.192,-0.4372,-0.6481,0.2298,0.815
6.196,-0.4466,-0.6409,0.2346,0.816
6.197,-0.457,-0.6342,0.2385,0.8170000000000001
6.199,-0.4741,-0.6353,0.24,0.828
6.202,-0.4897,-0.6365,0.2405,0.838
6.204,-0.5038,-0.6415,0.2376,0.85
6.207,-0.5223,-0.652,0.236,0.868
6.209,-0.5389,-0.6567,0.2356,0.882
6.211,-0.551,-0.6642,0.2346,0.894
6.215,-0.5651,-0.6741,0.2307,0.909
6.217,-0.5801,-0.6826,0.2291,0.925
6.219,-0.5956,-0.6931,0.2296,0.9420000000000001
6.221,-0.6135,-0.7055,0.2287,0.963
6.224,-0.6315,-0.7185,0.2287,0.983
6.226,-0.6528,-0.7354,0.2315,1.01
6.229,-0.6752,-0.7528,0.233,1.038
6.231,-0.6979,-0.7692,0.2286,1.063
6.234,-0.7153,-0.7861,0.2241,1.0859999999999999
6.236,-0.7365,-0.802,0.2197,1.111
6.239,-0.7539,-0.8164,0.2177,1.1320000000000001
6.242,-0.7703,-0.8313,0.2143,1.153
6.243,-0.7804,-0.8456,0.2104,1.17
6.246,-0.794,-0.8579,0.205,1.187
6.248,-0.8045,-0.8708,0.1995,1.202
6.251,-0.82,-0.8842,0.1951,1.222
6.253,-0.8374,-0.8972,0.1888,1.242
6.256,-0.8537,-0.9126,0.1819,1.263
6.258,-0.8672,-0.9215,0.176,1.278
6.261,-0.8749,-0.9284,0.1712,1.287
6.264,-0.8802,-0.9339,0.1668,1.294
6.265,-0.8802,-0.9334,0.1609,1.2930000000000001
6.268,-0.8801,-0.9319,0.1535,1.291
6.27,-0.8781,-0.9294,0.1442,1.287
6.275,-0.8731,-0.9244,0.135,1.2790000000000001
6.276,-0.8653,-0.917,0.1257,1.2670000000000001
6.278,-0.8594,-0.9125,0.1154,1.2590000000000001
6.28,-0.8526,-0.9051,0.1022,1.248
6.283,-0.8457,-0.8976,0.0949,1.237
6.285,-0.8374,-0.8877,0.0861,1.2229999999999999
6.288,-0.8272,-0.8777,0.0753,1.208
6.29,-0.8209,-0.8654,0.0656,1.195
6.293,-0.8136,-0.8535,0.0563,1.181
6.295,-0.8048,-0.8417,0.046,1.165
6.297,-0.7951,-0.8274,0.0348,1.148
6.3,-0.7864,-0.814,0.025,1.1320000000000001
6.303,-0.7791,-0.7963,0.0138,1.114
6.305,-0.7738,-0.7796,0.0031,1.0979999999999999
6.307,-0.7705,-0.7652,-0.0087,1.0859999999999999
6.31,-0.7695,-0.752,-0.0189,1.0759999999999998
6.312,-0.7725,-0.7383,-0.0287,1.069
6.314,-0.7784,-0.7271,-0.04,1.0659999999999998
6.318,-0.7873,-0.7178,-0.0502,1.067
6.319,-0.796,-0.7111,-0.0595,1.069
6.322,-0.8044,-0.7039,-0.0659,1.071
6.324,-0.8133,-0.6922,-0.0732,1.07
6.327,-0.8207,-0.681,-0.0771,1.069
6.329,-0.8305,-0.6684,-0.082,1.069
6.332,-0.8424,-0.6547,-0.0864,1.07
6.334,-0.8553,-0.6397,-0.0899,1.072
6.336,-0.8685,-0.6301,-0.0947,1.077
6.34,-0.8817,-0.6209,-0.0986,1.083
6.342,-0.896,-0.6108,-0.103,1.089
6.344,-0.9104,-0.6002,-0.1045,1.095
6.346,-0.9242,-0.59,-0.1045,1.101
6.349,-0.9369,-0.5814,-0.1094,1.1079999999999999
6.352,-0.9492,-0.5756,-0.1128,1.1159999999999999
6.354,-0.9576,-0.5659,-0.1148,1.1179999999999999
6.356,-0.9649,-0.5591,-0.1172,1.121
6.359,-0.9718,-0.5519,-0.1187,1.124
6.361,-0.9773,-0.5431,-0.1192,1.124
6.364,-0.9837,-0.5392,-0.1172,1.128
6.366,-0.9887,-0.5334,-0.1162,1.129
6.368,-0.9932,-0.5281,-0.1162,1.131
6.371,-0.9937,-0.5251,-0.1143,1.13
6.375,-0.9958,-0.5207,-0.1099,1.129
6.376,-0.9983,-0.5203,-0.1069,1.131
6.527,-0.9974,-0.5149,-0.1021,1.127
6.528,-0.9965,-0.5115,-0.0982,1.124
6.528,-0.9951,-0.5095,-0.0938,1.122
6.529,-0.9922,-0.5061,-0.0879,1.117
6.529,-0.9913,-0.5071,-0.0816,1.1159999999999999
6.529,-0.987,-0.5046,-0.0786,1.111
6.529,-0.9836,-0.5035,-0.0727,1.107
6.53,-0.9798,-0.5021,-0.0688,1.103
6.53,-0.9768,-0.501,-0.0683,1.1
6.53,-0.9725,-0.5024,-0.0678,1.097
6.531,-0.9715,-0.5034,-0.0668,1.0959999999999999
6.531,-0.967,-0.5073,-0.0683,1.094
6.531,-0.965,-0.5107,-0.0688,1.094
6.531,-0.9606,-0.5097,-0.0668,1.09
6.531,-0.9582,-0.5087,-0.0664,1.087
6.532,-0.9563,-0.5077,-0.0664,1.085
6.532,-0.9533,-0.5062,-0.0654,1.081
6.532,-0.9538,-0.5062,-0.0644,1.082
6.533,-0.9543,-0.5062,-0.0654,1.082
6.533,-0.9553,-0.5081,-0.0654,1.084
6.533,-0.9552,-0.5116,-0.0659,1.0859999999999999
6.533,-0.9586,-0.517,-0.0659,1.091
6.534,-0.9615,-0.5214,-0.0634,1.0959999999999999
6.534,-0.9684,-0.5245,-0.0595,1.103
6.534,-0.9718,-0.5289,-0.0537,1.1079999999999999
6.534,-0.9757,-0.5334,-0.0463,1.113
6.534,-0.9822,-0.5359,-0.0361,1.119
6.535,-0.9915,-0.5375,-0.0262,1.128
6.535,-0.9989,-0.5411,-0.014,1.136
6.535,-1.0088,-0.5417,-0.0043,1.145
6.535,-1.0163,-0.5403,0.0065,1.151
6.535,-1.0232,-0.5409,0.0177,1.158
6.536,-1.0273,-0.542,0.0309,1.162
6.536,-1.0303,-0.543,0.0441,1.165
6.536,-1.0378,-0.5431,0.0588,1.173
6.537,-1.0408,-0.5442,0.0715,1.177
6.537,-1.0492,-0.5463,0.0842,1.186
6.537,-1.0561,-0.5493,0.0969,1.194
6.537,-1.0616,-0.5518,0.1082,1.2009999999999998
6.537,-1.0685,-0.5514,0.1194,1.208
6.538,-1.0735,-0.5515,0.1277,1.214
6.538,-1.079,-0.5511,0.137,1.219
6.538,-1.0878,-0.5502,0.1419,1.227
6.538,-1.0938,-0.5483,0.1487,1.2329999999999999
6.538,-1.0978,-0.5469,0.1541,1.236
6.539,-1.1003,-0.5435,0.159,1.237
6.539,-1.1052,-0.5401,0.1604,1.2409999999999999
6.539,-1.1063,-0.5367,0.1638,1.24
6.539,-1.1083,-0.5318,0.1648,1.24
6.539,-1.1085,-0.522,0.1683,1.237
6.539,-1.1114,-0.5147,0.1683,1.236
6.54,-1.1106,-0.5049,0.1688,1.232
6.54,-1.1116,-0.4991,0.1668,1.23
6.54,-1.1146,-0.4908,0.161,1.228
6.54,-1.1175,-0.4878,0.1541,1.229
6.54,-1.1204,-0.4869,0.1428,1.23
6.541,-1.1222,-0.4864,0.1336,1.23
6.541,-1.127,-0.4864,0.1214,1.2329999999999999
6.541,-1.1318,-0.485,0.1111,1.236
6.541,-1.1347,-0.485,0.0999,1.238
6.541,-1.1395,-0.4831,0.0891,1.2409999999999999
6.542,-1.1457,-0.4831,0.0817,1.246
6.542,-1.1535,-0.4827,0.0739,1.253
6.542,-1.1622,-0.4867,0.067,1.262
6.542,-1.1728,-0.4927,0.0582,1.273
6.542,-1.1855,-0.4968,0.0602,1.287
6.543,-1.1938,-0.4983,0.0621,1.295
6.545,-1.2065,-0.5024,0.0655,1.3090000000000002
6.545,-1.2187,-0.506,0.0728,1.3219999999999998
6.548,-1.234,-0.5067,0.0801,1.3359999999999999
6.551,-1.2531,-0.5099,0.088,1.3559999999999999
6.557,-1.2692,-0.5135,0.0968,1.3730000000000002
6.557,-1.2855,-0.5162,0.1071,1.389
6.558,-1.3016,-0.5232,0.1154,1.4080000000000001
6.56,-1.3143,-0.5243,0.1198,1.42
6.562,-1.3251,-0.5269,0.1251,1.431
6.567,-1.3364,-0.527,0.129,1.442
6.568,-1.3466,-0.5281,0.1315,1.452
6.573,-1.3568,-0.5326,0.132,1.464
6.573,-1.3637,-0.5323,0.131,1.47
6.575,-1.3745,-0.5324,0.128,1.48
6.577,-1.3852,-0.532,0.1275,1.489
6.58,-1.3974,-0.5307,0.1236,1.5
6.582,-1.4071,-0.5308,0.1173,1.508
6.584,-1.4193,-0.5319,0.1099,1.52
6.587,-1.4333,-0.534,0.1011,1.5330000000000001
6.589,-1.4483,-0.5371,0.0899,1.547
6.592,-1.4676,-0.5521,0.0766,1.57
6.594,-1.4879,-0.565,0.0624,1.5930000000000002
6.597,-1.5086,-0.5833,0.0497,1.618
6.599,-1.5327,-0.5992,0.0369,1.646
6.602,-1.5572,-0.6225,0.0208,1.6769999999999998
6.604,-1.5837,-0.6487,0.0105,1.7109999999999999
6.607,-1.6117,-0.6765,0.0007,1.7480000000000002
6.609,-1.642,-0.7067,-0.0101,1.788
6.612,-1.6703,-0.7409,-0.0199,1.827
6.614,-1.6939,-0.772,-0.0273,1.8619999999999999
6.616,-1.7195,-0.8031,-0.0293,1.8980000000000001
6.619,-1.7446,-0.8284,-0.0288,1.931
6.621,-1.762,-0.8472,-0.0259,1.955
6.624,-1.7751,-0.8571,-0.0195,1.9709999999999999
6.626,-1.7839,-0.8602,-0.0137,1.9809999999999999
6.629,-1.785,-0.8588,-0.0098,1.9809999999999999
6.634,-1.7836,-0.8519,-0.0029,1.9769999999999999
6.634,-1.778,-0.8391,0.0039,1.966
6.636,-1.7656,-0.8165,0.0074,1.945
6.638,-1.7479,-0.7883,0.0074,1.9169999999999998
6.641,-1.7253,-0.7513,0.004,1.882
6.643,-1.7021,-0.7104,-0.0028,1.844
6.646,-1.6756,-0.6675,-0.0131,1.804
6.648,-1.6462,-0.6235,-0.0272,1.761
6.651,-1.6138,-0.578,-0.0448,1.715
6.655,-1.5784,-0.5354,-0.0613,1.6680000000000001
6.656,-1.5436,-0.4963,-0.0765,1.6230000000000002
6.658,-1.5179,-0.4607,-0.0941,1.589
6.661,-1.4883,-0.4275,-0.1077,1.5519999999999998
6.664,-1.4646,-0.4032,-0.1135,1.5230000000000001
6.666,-1.4481,-0.3864,-0.1184,1.5030000000000001
6.668,-1.4336,-0.3759,-0.1189,1.4869999999999999
6.67,-1.4146,-0.3678,-0.1203,1.4669999999999999
6.673,-1.3922,-0.3622,-0.1179,1.443
6.676,-1.3718,-0.3576,-0.1115,1.422
6.678,-1.3541,-0.3584,-0.109,1.405
6.68,-1.3424,-0.3641,-0.108,1.395
6.683,-1.3422,-0.3769,-0.1046,1.3980000000000001
6.685,-1.3474,-0.3955,-0.0993,1.4080000000000001
6.688,-1.3574,-0.4211,-0.0925,1.4240000000000002
6.69,-1.3714,-0.4537,-0.0817,1.4469999999999998
6.693,-1.3809,-0.4886,-0.0685,1.466
6.695,-1.3899,-0.5284,-0.0495,1.4880000000000002
6.697,-1.4019,-0.5682,-0.0265,1.5130000000000001
6.7,-1.4157,-0.6155,-0.0065,1.544
6.703,-1.4271,-0.6617,0.015,1.5730000000000002
6.705,-1.4399,-0.7128,0.0369,1.607
6.707,-1.4547,-0.7634,0.056,1.6440000000000001
6.71,-1.4626,-0.8131,0.073,1.675
6.712,-1.4661,-0.8577,0.0882,1.7009999999999998
6.714,-1.4657,-0.8979,0.097,1.722
6.717,-1.46,-0.9317,0.1038,1.735
6.719,-1.4489,-0.9638,0.1087,1.744
6.722,-1.4364,-0.9926,0.1112,1.75
6.724,-1.4215,-1.016,0.1136,1.751
6.727,-1.4042,-1.0368,0.1141,1.749
6.729,-1.382,-1.0572,0.1136,1.744
6.732,-1.3593,-1.075,0.1131,1.7369999999999999
6.734,-1.3341,-1.086,0.1136,1.724
6.737,-1.3106,-1.094,0.1116,1.7109999999999999
6.739,-1.2827,-1.102,0.1146,1.695
6.741,-1.2582,-1.1042,0.119,1.6780000000000002
6.744,-1.2357,-1.1034,0.1239,1.661
6.747,-1.2162,-1.1008,0.1254,1.645
6.749,-1.1948,-1.0947,0.1254,1.625
6.751,-1.1749,-1.0851,0.1254,1.604
6.754,-1.156,-1.0712,0.125,1.581
6.758,-1.1365,-1.0578,0.1196,1.557
6.759,-1.117,-1.0428,0.1118,1.5319999999999998
6.761,-1.0981,-1.027,0.1055,1.507
6.764,-1.0825,-1.0169,0.1016,1.489
6.767,-1.0695,-1.0041,0.105,1.4709999999999999
6.768,-1.0536,-0.9897,0.1075,1.449
6.771,-1.042,-0.9728,0.1011,1.429
6.773,-1.0318,-0.9546,0.0948,1.409
6.776,-1.0217,-0.9403,0.0914,1.392
6.778,-1.0141,-0.925,0.0933,1.376
6.781,-1.0079,-0.9107,0.1002,1.3619999999999999
6.784,-1.0052,-0.8999,0.1027,1.3530000000000002
6.786,-1.0015,-0.8847,0.1095,1.341
6.788,-1.0002,-0.8739,0.1154,1.3330000000000002
6.791,-0.9969,-0.8636,0.1212,1.325
6.793,-0.9937,-0.8528,0.1257,1.315
6.795,-0.9889,-0.8435,0.1276,1.306
6.798,-0.9842,-0.8331,0.1286,1.296
6.8,-0.9799,-0.8233,0.1281,1.286
6.803,-0.9712,-0.8114,0.1286,1.272
6.805,-0.9649,-0.802,0.1262,1.261
6.808,-0.9596,-0.7946,0.1218,1.252
6.811,-0.9499,-0.7847,0.1184,1.238
6.813,-0.9441,-0.7768,0.112,1.228
6.815,-0.9416,-0.7728,0.1047,1.2229999999999999
6.817,-0.9348,-0.7663,0.0998,1.213
6.82,-0.926,-0.7613,0.0895,1.202
6.824,-0.9171,-0.7543,0.0792,1.19
6.825,-0.9074,-0.7479,0.0709,1.178
6.827,-0.8985,-0.7463,0.0612,1.17
6.83,-0.8892,-0.7383,0.0553,1.157
6.834,-0.8794,-0.7328,0.049,1.146
6.835,-0.8682,-0.7288,0.0417,1.1340000000000001
6.837,-0.8579,-0.7247,0.0344,1.124
6.84,-0.3879,-0.6786,0.3291,0.848
6.842,-0.4197,-0.8617,0.3402,1.0170000000000001
6.845,-0.8786,-0.7806,-0.087,1.178
6.847,-1.0091,-0.7572,-0.0612,1.263
6.849,-0.8643,-0.7916,-0.1319,1.179
6.852,-0.8291,-0.7456,-0.1447,1.124
6.854,-0.7982,-0.6975,-0.0057,1.06
6.857,-0.7822,-0.6691,0.0863,1.033
6.861,-0.7699,-0.6522,0.1,1.014
6.862,-0.7477,-0.6309,0.0535,0.98
6.864,-0.7124,-0.6166,-0.0266,0.943
6.867,-0.7239,-0.6417,-0.0168,0.968
6.869,-0.7625,-0.679,0.032,1.022
6.872,-0.7546,-0.6917,0.0364,1.024
6.874,-0.7425,-0.6896,0.0418,1.014
6.876,-0.7305,-0.6777,0.0505,0.998
6.879,-0.7149,-0.6643,0.0443,0.977
6.881,-0.7033,-0.6523,0.0374,0.96
6.884,-0.6945,-0.6503,0.0369,0.9520000000000001
6.886,-0.6901,-0.6537,0.0379,0.951
6.892,-0.6856,-0.6591,0.0384,0.9520000000000001
6.892,-0.6851,-0.6659,0.0408,0.956
6.894,-0.6811,-0.6713,0.0433,0.9570000000000001
6.896,-0.6762,-0.6776,0.0477,0.958
6.899,-0.6713,-0.6815,0.0506,0.958
6.901,-0.662,-0.6833,0.0535,0.953
6.904,-0.6536,-0.6842,0.054,0.948
6.906,-0.6473,-0.6831,0.053,0.943
6.908,-0.6404,-0.6831,0.0526,0.938
6.911,-0.6356,-0.6815,0.0526,0.9329999999999999
6.913,-0.6302,-0.681,0.0516,0.929
6.916,-0.6297,-0.681,0.0482,0.929
6.918,-0.6267,-0.6804,0.0457,0.9259999999999999
6.921,-0.6218,-0.6769,0.0408,0.92
6.923,-0.6213,-0.6735,0.0369,0.917
6.926,-0.6199,-0.671,0.0301,0.914
6.928,-0.6179,-0.669,0.0228,0.9109999999999999
6.93,-0.6164,-0.6646,0.0169,0.907
6.933,-0.6158,-0.6626,0.0106,0.905
6.935,-0.6177,-0.6631,0.0032,0.9059999999999999
6.938,-0.6187,-0.6621,-0.0007,0.9059999999999999
6.94,-0.6215,-0.6612,-0.0085,0.907
6.944,-0.6254,-0.6592,-0.0148,0.909
6.946,-0.6283,-0.6558,-0.0217,0.9079999999999999
6.948,-0.6307,-0.6554,-0.0271,0.91
6.95,-0.6337,-0.6514,-0.0335,0.909
6.953,-0.6341,-0.649,-0.0369,0.9079999999999999
6.955,-0.6366,-0.6461,-0.0399,0.9079999999999999
6.958,-0.637,-0.6417,-0.0457,0.905
6.96,-0.639,-0.6368,-0.0496,0.904
6.962,-0.6414,-0.6358,-0.054,0.905
6.965,-0.6419,-0.6334,-0.0584,0.904
6.968,-0.6448,-0.6324,-0.0623,0.905
6.97,-0.6492,-0.631,-0.0657,0.9079999999999999
6.972,-0.6512,-0.6281,-0.0687,0.907
6.975,-0.6536,-0.6257,-0.0696,0.907
6.977,-0.658,-0.6257,-0.0726,0.9109999999999999
6.98,-0.6595,-0.6243,-0.0726,0.9109999999999999
6.982,-0.6639,-0.6252,-0.0731,0.915
6.984,-0.6649,-0.6248,-0.074,0.915
6.987,-0.6687,-0.6248,-0.0755,0.9179999999999999
6.99,-0.6687,-0.6287,-0.076,0.9209999999999999
6.992,-0.6706,-0.6322,-0.076,0.925
6.994,-0.6731,-0.6327,-0.074,0.927
6.997,-0.6731,-0.6362,-0.0726,0.929
6.999,-0.6755,-0.6391,-0.0716,0.9329999999999999
7.002,-0.6774,-0.6436,-0.0677,0.937
7.004,-0.6774,-0.6445,-0.0662,0.937
7.007,-0.6814,-0.6485,-0.0594,0.943
7.009,-0.6833,-0.6525,-0.057,0.946
7.012,-0.6843,-0.6579,-0.0526,0.951
7.014,-0.6877,-0.6619,-0.0482,0.956
7.016,-0.6901,-0.6683,-0.0443,0.9620000000000001
7.019,-0.692,-0.6762,-0.0429,0.968
7.021,-0.6953,-0.685,-0.0389,0.977
7.026,-0.6982,-0.6948,-0.0355,0.986
7.027,-0.7015,-0.7056,-0.0311,0.995
7.029,-0.7044,-0.7169,-0.0281,1.005
7.031,-0.7057,-0.7287,-0.0242,1.015
7.033,-0.7076,-0.7395,-0.0218,1.024
7.036,-0.7075,-0.7533,-0.0184,1.034
7.039,-0.7092,-0.767,-0.0159,1.045
7.041,-0.7072,-0.7793,-0.0135,1.052
7.043,-0.708,-0.793,-0.0115,1.063
7.047,-0.7083,-0.8076,-0.0115,1.074
7.048,-0.7102,-0.8199,-0.0076,1.085
7.051,-0.7139,-0.8337,-0.0057,1.0979999999999999
7.053,-0.7193,-0.848,0.0001,1.112
7.056,-0.7181,-0.8631,0.004,1.123
7.058,-0.7131,-0.8729,0.0094,1.127
7.061,-0.7068,-0.8811,0.0158,1.13
7.064,-0.698,-0.8885,0.0251,1.13
7.067,-0.6882,-0.8913,0.0339,1.127
7.069,-0.6815,-0.8922,0.0417,1.123
7.07,-0.6679,-0.8911,0.0529,1.115
7.073,-0.6548,-0.89,0.0632,1.107
7.075,-0.6427,-0.8864,0.0754,1.0979999999999999
7.078,-0.6287,-0.8808,0.0882,1.0859999999999999
7.08,-0.6119,-0.8719,0.101,1.07
7.083,-0.5969,-0.8614,0.1132,1.054
7.085,-0.583,-0.851,0.124,1.0390000000000001
7.087,-0.5681,-0.8401,0.1342,1.023
7.091,-0.556,-0.8311,0.1425,1.01
7.093,-0.5493,-0.8227,0.1533,1.001
7.095,-0.5441,-0.8183,0.1602,0.996
7.097,-0.5378,-0.8148,0.1646,0.99
7.1,-0.5325,-0.8123,0.1714,0.986
7.103,-0.5326,-0.8089,0.1778,0.985
7.105,-0.5346,-0.8104,0.1826,0.988
7.107,-0.5424,-0.8144,0.1861,0.996
7.11,-0.5516,-0.8219,0.1875,1.0070000000000001
7.113,-0.5648,-0.8289,0.189,1.021
7.277,-0.5789,-0.8403,0.19,1.038
7.277,-0.5929,-0.8527,0.1889,1.056
7.277,-0.6059,-0.8646,0.1836,1.072
7.278,-0.6199,-0.8784,0.1796,1.09
7.278,-0.6314,-0.8899,0.1732,1.105
7.278,-0.6376,-0.9032,0.1684,1.1179999999999999
7.279,-0.6403,-0.914,0.161,1.127
7.279,-0.6406,-0.9233,0.1552,1.1340000000000001
7.279,-0.6356,-0.9276,0.1474,1.1340000000000001
7.28,-0.6296,-0.927,0.1381,1.129
7.28,-0.6243,-0.925,0.1361,1.124
7.28,-0.6155,-0.9205,0.1342,1.115
7.28,-0.6039,-0.9149,0.1351,1.105
7.281,-0.5903,-0.9074,0.1371,1.091
7.281,-0.5787,-0.899,0.1381,1.078
7.281,-0.5637,-0.8886,0.1386,1.061
7.282,-0.5525,-0.8795,0.1406,1.048
7.282,-0.5433,-0.8701,0.1435,1.036
7.282,-0.5293,-0.8597,0.1484,1.02
7.283,-0.5182,-0.8459,0.1533,1.004
7.283,-0.5044,-0.8286,0.1607,0.983
7.284,-0.4885,-0.8113,0.1695,0.9620000000000001
7.284,-0.4742,-0.793,0.1783,0.941
7.284,-0.4603,-0.7718,0.189,0.9179999999999999
7.284,-0.4465,-0.7501,0.1994,0.895
7.284,-0.4307,-0.7259,0.2107,0.87
7.285,-0.416,-0.6984,0.2229,0.843
7.285,-0.4028,-0.6713,0.2342,0.8170000000000001
7.285,-0.3944,-0.6428,0.2459,0.7929999999999999
7.285,-0.3894,-0.6158,0.2591,0.773
7.285,-0.383,-0.5937,0.2738,0.758
7.286,-0.3824,-0.5707,0.2885,0.745
7.286,-0.3847,-0.5511,0.3022,0.737
7.286,-0.3899,-0.537,0.31,0.732
7.286,-0.4003,-0.5268,0.3174,0.7340000000000001
7.287,-0.4146,-0.5211,0.3228,0.74
7.287,-0.4361,-0.5214,0.3261,0.754
7.287,-0.4606,-0.5275,0.3276,0.773
7.287,-0.485,-0.5332,0.3271,0.792
7.287,-0.5083,-0.5414,0.3252,0.8109999999999999
7.288,-0.5341,-0.551,0.3202,0.831
7.288,-0.5637,-0.5626,0.3114,0.855
7.288,-0.5967,-0.5771,0.303,0.884
7.288,-0.6326,-0.5922,0.2907,0.914
7.288,-0.6664,-0.6107,0.278,0.946
7.289,-0.7004,-0.6267,0.2633,0.976
7.289,-0.7323,-0.6423,0.2472,1.005
7.289,-0.7608,-0.6597,0.2325,1.033
7.289,-0.7898,-0.6772,0.2134,1.062
7.289,-0.8148,-0.6975,0.1987,1.091
7.29,-0.835,-0.7149,0.1806,1.114
7.29,-0.8527,-0.7341,0.1629,1.137
7.29,-0.8675,-0.7524,0.1458,1.158
7.29,-0.8822,-0.7727,0.1272,1.18
7.29,-0.8984,-0.7905,0.1121,1.202
7.291,-0.9148,-0.8097,0.0964,1.225
7.291,-0.9271,-0.8255,0.0802,1.244
7.291,-0.9356,-0.8398,0.066,1.2590000000000001
7.291,-0.9402,-0.8545,0.0543,1.272
7.291,-0.9444,-0.8683,0.044,1.284
7.292,-0.9441,-0.8785,0.0322,1.29
7.292,-0.9425,-0.8849,0.019,1.2930000000000001
7.292,-0.9364,-0.8912,0.0059,1.2930000000000001
7.292,-0.9313,-0.8965,-0.0068,1.2930000000000001
7.292,-0.9214,-0.8998,-0.0181,1.288
7.293,-0.912,-0.9011,-0.0273,1.2819999999999998
7.293,-0.9021,-0.9,-0.0377,1.275
7.293,-0.8938,-0.896,-0.0465,1.266
7.293,-0.8815,-0.8929,-0.0552,1.256
7.293,-0.8707,-0.8864,-0.064,1.244
7.294,-0.8566,-0.8769,-0.0714,1.228
7.294,-0.8444,-0.8659,-0.0806,1.212
7.294,-0.8313,-0.855,-0.0884,1.196
7.294,-0.8181,-0.8411,-0.0987,1.178
7.296,-0.8098,-0.8283,-0.109,1.1640000000000001
7.299,-0.8026,-0.8135,-0.1197,1.149
7.301,-0.7963,-0.8007,-0.1295,1.137
7.305,-0.794,-0.7835,-0.1373,1.124
7.306,-0.794,-0.7722,-0.1447,1.117
7.308,-0.798,-0.7614,-0.152,1.113
7.312,-0.8064,-0.7507,-0.1583,1.113
7.314,-0.8177,-0.7396,-0.1637,1.115
7.316,-0.83,-0.729,-0.1671,1.117
7.318,-0.8418,-0.7218,-0.1725,1.122
7.321,-0.8501,-0.713,-0.1798,1.124
7.324,-0.8615,-0.7014,-0.1823,1.126
7.325,-0.8723,-0.6932,-0.1832,1.129
7.329,-0.8841,-0.684,-0.1853,1.133
7.33,-0.896,-0.6743,-0.1848,1.136
7.333,-0.9064,-0.6671,-0.1833,1.14
7.335,-0.9182,-0.6619,-0.1809,1.146
7.339,-0.9334,-0.6547,-0.177,1.1540000000000001
7.34,-0.9483,-0.645,-0.1691,1.159
7.345,-0.9602,-0.6403,-0.1604,1.165
7.345,-0.9712,-0.6312,-0.1496,1.168
7.348,-0.9777,-0.6205,-0.1402,1.166
7.35,-0.9838,-0.6088,-0.13,1.1640000000000001
7.353,-0.9899,-0.5961,-0.1226,1.162
7.355,-0.993,-0.5879,-0.1173,1.16
